time,open,high,low,close,tick_volume,norm_price,norm_volume,price_change,volume_change
2025-06-19 18:40:00,5926.61,5928.36,5926.61,5928.11,29,0.35678172368070976,-0.3383614697320753,0.000253095783255608,0.15999999999999992
2025-06-19 18:41:00,5928.11,5928.36,5926.36,5926.61,34,-0.2950965291760339,0.09487954072461796,-0.00025303174198854084,0.17241379310344818
2025-06-19 18:42:00,5926.61,5927.11,5925.61,5926.36,40,-0.3485516801848795,0.6436651852194217,-4.2182630542564326e-05,0.17647058823529416
2025-06-19 18:43:00,5926.36,5927.11,5926.11,5926.86,33,-0.04813478827052862,0.04127014598526116,8.436881998385992e-05,-0.17500000000000004
2025-06-19 18:44:00,5926.86,5928.86,5926.61,5928.86,34,1.0132408699409692,0.09293203772845851,0.0003374468099466288,0.030303030303030276
2025-06-19 18:45:00,5928.86,5929.61,5928.86,5929.11,19,1.0947219012232825,-1.2768112286396318,4.2166622251205155e-05,-0.4411764705882353
2025-06-19 18:46:00,5929.11,5929.61,5928.86,5929.36,14,1.1697876732792925,-1.5783395526569446,4.216484430208389e-05,-0.26315789473684215
2025-06-19 18:47:00,5929.36,5930.61,5929.36,5930.61,17,1.6093291038651771,-1.286090195563579,0.00021081533251487983,0.2142857142857142
2025-06-19 18:48:00,5930.61,5930.73,5929.36,5929.36,25,1.0013655261488734,-0.5455537386454593,-0.00021077089877774569,0.47058823529411775
2025-06-19 18:49:00,5929.61,5930.11,5929.48,5929.86,9,1.2235071299216318,-1.673463771537475,8.432613300590752e-05,-0.64
2025-06-19 18:50:00,5929.86,5930.36,5929.36,5929.36,16,0.9661619091478317,-1.0211776742479943,-8.431902270877867e-05,0.7777777777777777
2025-06-19 18:51:00,5929.61,5929.86,5926.36,5926.61,55,-0.29612098833359496,1.7820079584890822,-0.0004637937315326024,2.4375
2025-06-19 18:52:00,5926.61,5926.86,5923.61,5924.36,47,-1.2182707104307662,1.1087855012408439,-0.000379643674883301,-0.1454545454545455
2025-06-19 18:53:00,5924.36,5924.36,5920.98,5923.11,71,-1.5597518937985235,2.257941851302323,-0.00021099325496765076,0.5106382978723405
2025-06-19 18:54:00,5923.11,5924.36,5922.61,5924.11,31,-1.0779148565575818,-0.14599106472384096,0.0001688302260129948,-0.5633802816901409
2025-06-19 18:55:00,5924.11,5927.36,5923.86,5925.11,60,-0.7394793241239414,1.6818375077282666,0.00016880172717925745,0.935483870967742
2025-06-19 18:56:00,5925.11,5925.61,5920.98,5923.86,90,-1.348732687862286,2.6434679683794995,-0.00021096654745644816,0.5
2025-06-19 18:57:00,5924.11,5924.86,5923.86,5924.61,62,-1.0197734957007334,1.1780902961648017,0.00012660663823926832,-0.3111111111111111
2025-06-19 18:58:00,5924.61,5924.61,5920.11,5920.36,78,-2.32649875288087,1.679268568131236,-0.0007173467958228041,0.25806451612903225
2025-06-19 18:59:00,5919.98,5921.61,5919.36,5920.36,66,-1.9613850624155882,1.0459353781891698,0.0,-0.15384615384615385
2025-06-19 19:00:00,5920.36,5922.36,5920.11,5922.11,60,-1.244788594048311,0.71887584482512,0.00029559013303237514,-0.09090909090909094
2025-06-19 19:01:00,5921.86,5922.86,5921.61,5922.86,17,-0.9264007333196076,-1.040479212876083,0.00012664405085338615,-0.7166666666666667
2025-06-19 19:02:00,5922.86,5922.86,5921.86,5922.61,30,-0.9236892957938889,-0.48009510144184725,-4.2209338056320433e-05,0.7647058823529411
2025-06-19 19:03:00,5922.23,5924.61,5921.86,5924.36,22,-0.35816523714456916,-0.7753424395422248,0.00029547783831795904,-0.2666666666666667
2025-06-19 19:04:00,5924.36,5925.36,5923.86,5925.36,22,-0.003878939027382233,-0.7412528815042299,0.0001687946039741206,0.0
2025-06-19 19:05:00,5925.36,5927.36,5925.36,5926.86,28,0.5123409550116289,-0.526400035043063,0.00025314917574625895,0.2727272727272727
2025-06-19 19:06:00,5926.86,5927.86,5926.86,5926.86,18,0.5754418464890815,-0.9476682075570779,0.0,-0.3571428571428571
2025-06-19 19:07:00,5927.11,5928.61,5926.86,5928.36,28,1.1842406503209513,-0.572243849520564,0.0002530851074600271,0.5555555555555556
2025-06-19 19:08:00,5928.36,5928.36,5927.86,5928.36,12,1.2339804814622801,-1.1794565605724252,0.0,-0.5714285714285714
2025-06-19 19:09:00,5928.36,5928.36,5927.86,5927.86,6,1.153563265562866,-1.404403899053989,-8.434035719828703e-05,-0.5
2025-06-19 19:10:00,5927.86,5928.36,5927.36,5928.36,9,1.4110877979024719,-1.2489558897795616,8.43474710940928e-05,0.5
2025-06-19 19:11:00,5928.36,5928.86,5927.36,5927.61,25,1.0718525310917673,-0.5574935799111235,-0.00012651053579737503,1.7777777777777777
2025-06-19 19:12:00,5927.61,5928.61,5927.61,5928.61,7,1.3139901332924802,-1.148879626827403,0.0001687020569842712,-0.72
2025-06-19 19:13:00,5928.61,5928.61,5928.36,5928.61,5,1.1815612368903015,-1.1137264535581264,0.0,-0.2857142857142857
2025-06-19 19:14:00,5928.86,5928.86,5927.86,5928.36,17,0.9911394481863848,-0.6162203508941771,-4.2168400350206525e-05,2.4
2025-06-19 19:15:00,5928.36,5928.61,5928.36,5928.36,3,0.9122723073802429,-1.0421804227138132,0.0,-0.8235294117647058
2025-06-19 19:16:00,5928.36,5929.36,5928.11,5929.36,15,1.1353271819988568,-0.5178233999393074,0.00016868071439657406,4.0
2025-06-19 19:17:00,5929.36,5929.61,5928.61,5929.36,9,1.029821896677046,-0.711506025962833,0.0,-0.4
2025-06-19 19:18:00,5929.36,5929.36,5929.11,5929.36,4,0.9653412013107343,-0.9522963617568,0.0,-0.5555555555555556
2025-06-19 19:19:00,5929.36,5929.86,5929.11,5929.36,7,0.9305484393677018,-0.7668842082020714,0.0,0.75
2025-06-19 19:20:00,5929.36,5930.11,5929.11,5930.11,13,1.1933432570406175,-0.21275910544471713,0.0001264891995089723,0.8571428571428572
2025-06-19 19:21:00,5930.11,5931.61,5929.86,5931.11,26,1.5862585590677312,1.1838229050546993,0.00016863093601982015,1.0
2025-06-19 19:22:00,5931.11,5931.61,5930.61,5930.61,12,1.3852626532372356,-0.28676863300029604,-8.430125221081664e-05,-0.5384615384615384
2025-06-19 19:23:00,5930.61,5931.36,5930.36,5930.61,14,1.3840331025806523,0.0,0.0,0.16666666666666674
2025-06-19 19:24:00,5930.61,5931.61,5930.61,5931.61,9,1.993704512963114,-0.5422914315459447,0.00016861671902224096,-0.3571428571428571
2025-06-19 19:25:00,5931.61,5932.86,5931.61,5932.36,15,2.183429166307052,0.31668495922686146,0.00012644121916305373,0.6666666666666667
2025-06-19 19:26:00,5932.36,5932.61,5931.36,5931.61,13,1.5151587595045886,0.0768589113604376,-0.00012642523380235193,-0.1333333333333333
2025-06-19 19:27:00,5931.61,5932.36,5931.61,5932.11,5,1.6356685340947044,-0.9959864207288389,8.42941461087765e-05,-0.6153846153846154
2025-06-19 19:28:00,5932.11,5932.23,5932.11,5932.11,5,1.4509274753636467,-0.918709545400415,0.0,0.0
2025-06-19 19:29:00,5932.36,5932.36,5932.11,5932.36,6,1.449208686441121,-0.7643045797868999,4.214352060238902e-05,0.19999999999999996
2025-06-19 19:30:00,5932.36,5932.61,5932.11,5932.36,16,1.3029403016266279,0.7170944531862539,0.0,1.6666666666666665
2025-06-19 19:31:00,5932.36,5932.36,5931.36,5932.11,15,1.059456891450342,0.7252507846014173,-4.2141744600820985e-05,-0.0625
