time,open,high,low,close,tick_volume,spread,real_volume,SMA_20,SMA_50,RSI,Signal
1750355160,5927.86,5928.48,5927.86,5928.11,29,40,0,5927.61,5928.1498,52.777777777777786,-1
1750355220,5928.11,5929.11,5927.36,5927.36,27,40,0,5927.4475,5928.1748,55.07246376811594,-1
1750355280,5927.61,5929.36,5927.11,5928.86,30,40,0,5927.3475,5928.2447999999995,61.11111111111111,-1
1750355340,5928.86,5929.36,5927.86,5927.86,17,40,0,5927.2474999999995,5928.3148,55.55555555555556,-1
1750355400,5927.86,5929.61,5927.86,5929.36,17,40,0,5927.2725,5928.379799999999,63.888888888888886,-1
1750355460,5929.61,5929.86,5928.11,5929.11,30,40,0,5927.3475,5928.5098,56.45161290322581,-1
1750355520,5929.11,5930.36,5928.86,5930.11,22,40,0,5927.4974999999995,5928.6398,54.23728813559322,-1
1750355580,5930.11,5931.11,5929.36,5930.11,36,40,0,5927.7225,5928.7548,54.23728813559322,-1
1750355640,5930.11,5932.36,5930.11,5931.36,27,40,0,5928.0475,5928.844799999999,57.142857142857146,-1
1750355700,5931.61,5934.11,5931.36,5933.36,34,40,0,5928.4225,5928.9298,61.971830985915496,-1
1750355760,5933.36,5933.86,5932.86,5932.86,13,40,0,5928.847499999999,5929.0298,66.66666666666666,-1
1750355820,5932.86,5932.86,5931.36,5931.36,24,40,0,5929.0599999999995,5929.0648,66.66666666666666,-1
1750355880,5931.36,5931.86,5930.61,5931.61,26,40,0,5929.197499999999,5929.1048,73.77049180327869,1
1750355940,5931.61,5932.36,5931.61,5932.11,22,40,0,5929.359999999999,5929.1798,67.34693877551021,1
1750356000,5932.61,5934.86,5931.86,5933.61,54,40,0,5929.585,5929.2474,70.37037037037038,1
1750356060,5933.61,5933.86,5932.86,5933.36,35,40,0,5929.7975,5929.3224,73.07692307692308,1
1750356120,5933.36,5933.36,5932.36,5933.11,16,40,0,5930.085,5929.3874,68.08510638297872,1
1750356180,5932.98,5933.11,5932.36,5932.86,17,40,0,5930.4349999999995,5929.465,72.72727272727272,1
1750356240,5932.61,5933.61,5932.36,5933.36,15,40,0,5930.885,5929.545,70.0,1
1750356300,5933.36,5933.61,5933.11,5933.36,13,40,0,5931.16,5929.6,71.7948717948718,1
1750356360,5933.36,5934.36,5933.36,5934.11,9,40,0,5931.46,5929.685,71.05263157894737,1
1750356420,5933.86,5935.11,5933.36,5934.86,26,40,0,5931.835,5929.769999999999,73.17073170731707,1
1750356480,5934.86,5935.11,5931.86,5932.61,36,40,0,5932.0225,5929.82,55.55555555555556,1
1750356540,5932.86,5933.36,5929.86,5929.86,48,40,0,5932.1224999999995,5929.825,35.41666666666667,1
1750356600,5929.86,5931.61,5929.61,5930.86,33,40,0,5932.1975,5929.85,41.99999999999999,1
1750356660,5930.86,5931.11,5930.36,5930.61,13,40,0,5932.2725,5929.859999999999,46.666666666666664,1
1750356720,5930.61,5931.36,5930.36,5931.36,16,40,0,5932.334999999999,5929.87,48.93617021276596,1
1750356780,5931.36,5935.23,5931.36,5934.36,41,40,0,5932.547499999999,5929.95,57.89473684210526,1
1750356840,5934.36,5936.23,5933.36,5933.36,82,40,0,5932.647499999999,5930.01,49.09090909090909,1
1750356900,5933.61,5934.86,5933.48,5933.61,30,40,0,5932.659999999999,5930.069999999999,50.909090909090914,1
1750356960,5933.61,5934.11,5931.86,5934.11,46,40,0,5932.7225,5930.14,53.57142857142857,1
1750357020,5933.98,5933.98,5932.61,5933.61,22,40,0,5932.835,5930.2,52.631578947368425,1
1750357080,5933.61,5933.86,5932.61,5932.61,12,40,0,5932.885,5930.235,47.45762711864407,1
1750357140,5932.61,5934.86,5932.61,5934.86,29,40,0,5933.0225,5930.334999999999,54.41176470588235,1
1750357200,5934.61,5934.61,5932.23,5932.36,28,40,0,5932.96,5930.405,45.33333333333333,1
1750357260,5932.36,5932.36,5930.36,5930.36,30,40,0,5932.8099999999995,5930.46,38.75,1
1750357320,5930.23,5931.36,5929.61,5930.11,41,40,0,5932.66,5930.52,43.055555555555564,1
1750357380,5930.11,5930.11,5927.61,5927.86,40,40,0,5932.41,5930.565,44.285714285714285,1
1750357440,5927.61,5928.36,5927.61,5928.11,25,40,0,5932.1475,5930.629999999999,41.791044776119406,1
1750357500,5928.11,5928.61,5927.61,5928.11,21,40,0,5931.885,5930.675,42.42424242424243,1
1750357560,5928.11,5929.11,5927.86,5928.36,26,40,0,5931.5975,5930.755,40.625,1
1750357620,5928.36,5928.36,5927.36,5927.61,20,40,0,5931.235,5930.765,25.454545454545453,1
1750357680,5927.61,5929.61,5927.36,5929.11,40,40,0,5931.0599999999995,5930.769999999999,35.08771929824562,1
1750357740,5928.86,5930.11,5928.86,5929.61,30,40,0,5931.047499999999,5930.785,36.206896551724135,1
1750357800,5929.36,5930.11,5928.36,5928.86,46,40,0,5930.947499999999,5930.78,32.203389830508485,1
1750357860,5928.86,5929.61,5927.36,5927.36,24,40,0,5930.784999999999,5930.745,30.158730158730165,1
1750357920,5927.36,5928.36,5927.11,5927.36,32,40,0,5930.585,5930.744999999999,32.203389830508485,-1
1750357980,5927.36,5928.36,5927.36,5927.61,18,40,0,5930.2474999999995,5930.78,21.568627450980387,-1
1750358040,5927.61,5927.61,5925.86,5925.86,39,40,0,5929.8724999999995,5930.81,22.91666666666667,-1
1750358100,5925.86,5925.86,5923.11,5923.36,65,40,0,5929.36,5930.72,22.0,-1
1750358160,5923.11,5923.61,5922.11,5922.61,30,40,0,5928.785,5930.609999999999,21.15384615384616,-1
1750358220,5922.61,5925.11,5922.61,5924.61,43,40,0,5928.335,5930.5549999999985,37.254901960784316,-1
1750358280,5924.61,5926.61,5924.61,5925.86,31,40,0,5927.9974999999995,5930.495,41.81818181818182,-1
1750358340,5925.86,5926.86,5925.86,5926.61,25,40,0,5927.585,5930.47,44.827586206896555,-1
1750358400,5926.61,5928.36,5926.61,5928.11,29,40,0,5927.3724999999995,5930.445,49.20634920634921,-1
1750358460,5928.11,5928.36,5926.36,5926.61,34,40,0,5927.1849999999995,5930.394999999999,46.96969696969697,-1
1750358520,5926.61,5927.11,5925.61,5926.36,40,40,0,5926.9974999999995,5930.32,40.98360655737705,-1
1750358580,5926.36,5927.11,5926.11,5926.86,33,40,0,5926.9475,5930.255,40.98360655737705,-1
1750358640,5926.86,5928.86,5926.61,5928.86,34,40,0,5926.984999999999,5930.205,50.0,-1
1750358700,5928.86,5929.61,5928.86,5929.11,19,40,0,5927.034999999999,5930.119999999999,55.73770491803278,-1
1750358760,5929.11,5929.61,5928.86,5929.36,14,40,0,5927.084999999999,5930.05,56.45161290322581,-1
1750358820,5929.36,5930.61,5929.36,5930.61,17,40,0,5927.234999999999,5930.035,59.09090909090909,-1
1750358880,5930.61,5930.73,5929.36,5929.36,25,40,0,5927.2474999999995,5929.99,60.93749999999999,-1
1750358940,5929.61,5930.11,5929.48,5929.86,9,40,0,5927.26,5929.944999999999,73.21428571428572,-1
1750359000,5929.86,5930.36,5929.36,5929.36,16,40,0,5927.285,5929.86,74.54545454545455,-1
